Tipo,Denominação,"Código Postal",Descritivo
LOJA,"CTT ARROIOS (LISBOA)",1001-001,LISBOA
LOJA,"CTT ARROIOS (LISBOA)",1002-001,LISBOA
LOJA,"CTT ARROIOS (LISBOA)",1002-001,LISBOA
LOJA,"CTT ROMA (LISBOA)",1006-601,LISBOA
LOJA,"CTT ARROIOS (LISBOA)",1007-001,LISBOA
LOJA,"CTT ARROIOS (LISBOA)",1008-001,LISBOA
LOJA,"CTT ARROIOS (LISBOA)",1009-001,LISBOA
LOJA,"CTT ARROIOS (LISBOA)",1011-001,LISBOA
LOJA,"CTT ARROIOS (LISBOA)",1012-001,LISBOA
LOJA,"CTT ARROIOS (LISBOA)",1013-001,LISBOA
LOJA,"CTT ARROIOS (LISBOA)",1016-001,LISBOA
LOJA,"CTT ARROIOS (LISBOA)",1016-804,LISBOA
LOJA,"CTT ARROIOS (LISBOA)",1017-001,LISBOA
LOJA,"CTT ARROIOS (LISBOA)",1017-801,LISBOA
LOJA,"CTT ARROIOS (LISBOA)",1017-808,LISBOA
LOJA,"CTT ARROIOS (LISBOA)",1017-812,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1051-001,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1051-802,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1051-804,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1052-001,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1052-803,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1053-001,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1053-804,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1054-001,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1054-804,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1056-001,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1057-001,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1057-803,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1058-001,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1058-801,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1058-805,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1059-001,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1059-002,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1061-001,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1061-002,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1061-003,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1061-803,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1061-806,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1061-810,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1061-811,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1061-812,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1061-815,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1061-816,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1061-817,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1061-818,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1061-819,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1061-820,LISBOA
LOJA,"CTT PICOAS (LISBOA)",1061-821,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-001,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-002,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-003,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-004,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-005,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-803,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-808,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-824,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-826,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-835,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-840,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-841,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-843,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-844,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-845,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-846,LISBOA
LOJA,"CTT 5 DE OUTUBRO (LISBOA)",1064-847,LISBOA
